PC Time,Fix Type,Velocity,clock drift,X,drift_rate,clock bias,RTC,Temp,LCD_Temp,Sensor_Temp,CH1_SA,CH1,CH1_Elev,CH1_Azmth,CH2_SA,CH2,CH2_Elev,CH2_Azmth,CH3_SA,CH3,CH3_Elev,CH3_Azmth,CH4_SA,CH4,CH4_Elev,CH4_Azmth,CH5_SA,CH5,CH5_Elev,CH5_Azmth,CH6_SA,CH6,CH6_Elev,CH6_Azmth,CH7_SA,CH7,CH7_Elev,CH7_Azmth,CH8_SA,CH8,CH8_Elev,CH8_Azmth,CH9_SA,CH9,CH9_Elev,CH9_Azmth,CH10_SA,CH10,CH10_Elev,CH10_Azmth,CH11_SA,CH11,CH11_Elev,CH11_Azmth,CH12_SA,CH12,CH12_Elev,CH12_Azmth,vel_lon,vel_lat,vel_alt
05-22-2020  01:45:48,,0.000000,0.007450,0.004318,0.006008,0.001686,0.000000,30,0,0,16,43.95,0,0,65,46.10,0,0,72,46.20,0,0,78,44.70,0,0,207,0.00,0,0,16,43.95,0,0,16,43.95,0,0,16,43.95,0,0,16,43.95,0,0,16,43.95,0,0,16,43.95,0,0,16,43.95,0,0,0.000,0.000,-0.000
05-22-2020  01:45:49,,0.000000,0.007317,0.002179,0.005284,0.001687,0.000000,30,0,0,16,43.98,0,0,65,46.20,0,0,72,46.20,0,0,78,44.70,0,0,207,0.00,0,0,16,43.98,0,0,16,43.98,0,0,16,43.98,0,0,16,43.98,0,0,16,43.98,0,0,16,43.98,0,0,16,43.98,0,0,0.000,0.000,-0.000
05-22-2020  01:45:50,,0.000000,0.007571,0.004150,0.005240,0.001687,0.000000,30,0,0,16,44.03,0,0,65,46.10,0,0,72,46.20,0,0,78,44.60,0,0,207,0.00,0,0,16,44.03,0,0,16,44.03,0,0,16,44.03,0,0,16,44.03,0,0,16,44.03,0,0,16,44.03,0,0,16,44.03,0,0,0.000,0.000,-0.000
05-22-2020  01:45:51,,0.000000,0.007234,0.005504,0.005642,0.001688,0.000000,30,0,0,16,44.03,0,0,65,46.10,0,0,72,46.20,0,0,78,44.60,0,0,207,0.00,0,0,16,44.03,0,0,16,44.03,0,0,16,44.03,0,0,16,44.03,0,0,16,44.03,0,0,16,44.03,0,0,16,44.03,0,0,0.000,0.000,-0.000
05-22-2020  01:45:52,,0.000000,0.007038,0.003220,0.004771,0.001688,0.000000,30,0,0,16,44.09,0,0,65,46.10,0,0,72,46.10,0,0,78,44.60,0,0,207,0.00,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,0.000,0.000,-0.000
05-22-2020  01:45:53,,0.000000,0.007390,0.005773,0.004641,0.001689,0.000000,30,0,0,16,44.21,0,0,65,46.10,0,0,72,46.10,0,0,78,44.60,0,0,207,0.00,0,0,16,44.21,0,0,16,44.21,0,0,16,44.21,0,0,16,44.21,0,0,16,44.21,0,0,16,44.21,0,0,16,44.21,0,0,0.000,0.000,-0.000
05-22-2020  01:45:54,,0.000000,0.007657,0.004370,0.004675,0.001689,0.000000,30,0,0,16,44.20,0,0,65,46.10,0,0,72,46.10,0,0,78,44.60,0,0,207,0.00,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,0.000,0.000,-0.000
05-22-2020  01:45:55,,0.000000,0.006739,0.015023,0.005812,0.001690,0.000000,30,0,0,16,44.21,0,0,65,46.10,0,0,72,46.10,0,0,78,44.60,0,0,207,0.00,0,0,16,44.21,0,0,16,44.21,0,0,16,44.21,0,0,16,44.21,0,0,16,44.21,0,0,16,44.21,0,0,16,44.21,0,0,0.000,0.000,-0.000
05-22-2020  01:45:56,,0.000000,0.007559,0.013419,0.006310,0.001690,0.000000,30,0,0,16,44.20,0,0,65,46.10,0,0,72,46.00,0,0,78,44.60,0,0,207,0.00,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,0.000,0.000,-0.000
05-22-2020  01:45:57,,0.000000,0.007330,0.003745,0.006170,0.001691,0.000000,30,0,0,16,44.27,0,0,65,46.10,0,0,72,46.00,0,0,78,44.50,0,0,207,0.00,0,0,16,44.27,0,0,16,44.27,0,0,16,44.27,0,0,16,44.27,0,0,16,44.27,0,0,16,44.27,0,0,16,44.27,0,0,0.000,0.000,-0.000
