PC Time,Fix Type,Velocity,clock drift,X,drift_rate,clock bias,RTC,Temp,LCD_Temp,Sensor_Temp,CH1_SA,CH1,CH1_Elev,CH1_Azmth,CH2_SA,CH2,CH2_Elev,CH2_Azmth,CH3_SA,CH3,CH3_Elev,CH3_Azmth,CH4_SA,CH4,CH4_Elev,CH4_Azmth,CH5_SA,CH5,CH5_Elev,CH5_Azmth,CH6_SA,CH6,CH6_Elev,CH6_Azmth,CH7_SA,CH7,CH7_Elev,CH7_Azmth,CH8_SA,CH8,CH8_Elev,CH8_Azmth,CH9_SA,CH9,CH9_Elev,CH9_Azmth,CH10_SA,CH10,CH10_Elev,CH10_Azmth,CH11_SA,CH11,CH11_Elev,CH11_Azmth,CH12_SA,CH12,CH12_Elev,CH12_Azmth,vel_lon,vel_lat,vel_alt
05-22-2020  01:49:34,,0.000000,0.004882,0.002728,0.005858,0.001795,0.000000,30,0,0,16,44.09,0,0,65,45.50,0,0,72,45.40,0,0,78,44.00,0,0,207,0.00,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,0.000,0.000,-0.000
05-22-2020  01:49:35,,0.000000,0.005463,0.009520,0.005840,0.001796,0.000000,30,0,0,16,44.08,0,0,65,45.50,0,0,72,45.50,0,0,78,44.00,0,0,207,0.00,0,0,16,44.08,0,0,16,44.08,0,0,16,44.08,0,0,16,44.08,0,0,16,44.08,0,0,16,44.08,0,0,16,44.08,0,0,0.000,0.000,-0.000
05-22-2020  01:49:36,,0.000000,0.005191,0.004457,0.005711,0.001796,0.000000,30,0,0,16,44.09,0,0,65,45.50,0,0,72,45.50,0,0,78,44.00,0,0,207,0.00,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,0.000,0.000,-0.000
05-22-2020  01:49:37,,0.000000,0.005393,0.003309,0.006014,0.001797,0.000000,30,0,0,16,44.11,0,0,65,45.50,0,0,72,45.50,0,0,78,44.10,0,0,207,0.00,0,0,16,44.11,0,0,16,44.11,0,0,16,44.11,0,0,16,44.11,0,0,16,44.11,0,0,16,44.11,0,0,16,44.11,0,0,0.000,0.000,-0.000
05-22-2020  01:49:38,,0.000000,0.005623,0.003309,0.006014,0.001797,0.000000,30,0,0,16,44.13,0,0,65,45.50,0,0,72,45.50,0,0,78,44.10,0,0,207,0.00,0,0,16,44.13,0,0,16,44.13,0,0,16,44.13,0,0,16,44.13,0,0,16,44.13,0,0,16,44.13,0,0,16,44.13,0,0,0.000,0.000,-0.000
05-22-2020  01:49:39,,0.000000,0.005191,0.003309,0.006020,0.001798,0.000000,30,0,0,16,44.15,0,0,65,45.60,0,0,72,45.50,0,0,78,44.20,0,0,207,0.00,0,0,16,44.15,0,0,16,44.15,0,0,16,44.15,0,0,16,44.15,0,0,16,44.15,0,0,16,44.15,0,0,16,44.15,0,0,0.000,0.000,-0.000
05-22-2020  01:49:40,,0.000000,0.005839,0.010612,0.006564,0.001798,0.000000,30,0,0,16,44.20,0,0,65,45.50,0,0,72,45.50,0,0,78,44.10,0,0,207,0.00,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,0.000,0.000,-0.000
05-22-2020  01:49:41,,0.000000,0.005688,0.002474,0.006393,0.001799,0.000000,30,0,0,16,44.20,0,0,65,45.60,0,0,72,45.50,0,0,78,44.20,0,0,207,0.00,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,0.000,0.000,-0.000
05-22-2020  01:49:42,,0.000000,0.005346,0.005605,0.005077,0.001799,0.000000,30,0,0,16,44.21,0,0,65,45.60,0,0,72,45.60,0,0,78,44.10,0,0,207,0.00,0,0,16,44.21,0,0,16,44.21,0,0,16,44.21,0,0,16,44.21,0,0,16,44.21,0,0,16,44.21,0,0,16,44.21,0,0,0.000,0.000,-0.000
05-22-2020  01:49:43,,0.000000,0.006029,0.011190,0.005892,0.001800,0.000000,30,0,0,16,44.20,0,0,65,45.60,0,0,72,45.60,0,0,78,44.20,0,0,207,0.00,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,0.000,0.000,-0.000
05-22-2020  01:49:44,,0.000000,0.006081,0.000853,0.005406,0.001800,0.000000,30,0,0,16,44.29,0,0,65,45.60,0,0,72,45.70,0,0,78,44.20,0,0,207,0.00,0,0,16,44.29,0,0,16,44.29,0,0,16,44.29,0,0,16,44.29,0,0,16,44.29,0,0,16,44.29,0,0,16,44.29,0,0,0.000,0.000,-0.000
05-22-2020  01:49:45,,0.000000,0.006082,0.000012,0.005134,0.001801,0.000000,30,0,0,16,44.20,0,0,65,45.60,0,0,72,45.70,0,0,78,44.20,0,0,207,0.00,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,0.000,0.000,-0.000
05-22-2020  01:49:46,,0.000000,0.004993,0.017822,0.005964,0.001801,0.000000,30,0,0,16,44.20,0,0,65,45.70,0,0,72,45.70,0,0,78,44.30,0,0,207,0.00,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,0.000,0.000,-0.000
05-22-2020  01:49:47,,0.000000,0.005658,0.010878,0.006607,0.001802,0.000000,30,0,0,16,44.11,0,0,65,45.80,0,0,72,45.70,0,0,78,44.20,0,0,207,0.00,0,0,16,44.11,0,0,16,44.11,0,0,16,44.11,0,0,16,44.11,0,0,16,44.11,0,0,16,44.11,0,0,16,44.11,0,0,0.000,0.000,-0.000
05-22-2020  01:49:48,,0.000000,0.005594,0.001051,0.006381,0.001802,0.000000,30,0,0,16,44.20,0,0,65,45.90,0,0,72,45.70,0,0,78,44.30,0,0,207,0.00,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,0.000,0.000,-0.000
05-22-2020  01:49:49,,0.000000,0.006254,0.001051,0.006381,0.001802,0.000000,30,0,0,16,44.18,0,0,65,45.80,0,0,72,45.80,0,0,78,44.30,0,0,207,0.00,0,0,16,44.18,0,0,16,44.18,0,0,16,44.18,0,0,16,44.18,0,0,16,44.18,0,0,16,44.18,0,0,16,44.18,0,0,0.000,0.000,-0.000
