PC Time,Fix Type,Velocity,clock drift,X,drift_rate,clock bias,RTC,Temp,LCD_Temp,Sensor_Temp,CH1_SA,CH1,CH1_Elev,CH1_Azmth,CH2_SA,CH2,CH2_Elev,CH2_Azmth,CH3_SA,CH3,CH3_Elev,CH3_Azmth,CH4_SA,CH4,CH4_Elev,CH4_Azmth,CH5_SA,CH5,CH5_Elev,CH5_Azmth,CH6_SA,CH6,CH6_Elev,CH6_Azmth,CH7_SA,CH7,CH7_Elev,CH7_Azmth,CH8_SA,CH8,CH8_Elev,CH8_Azmth,CH9_SA,CH9,CH9_Elev,CH9_Azmth,CH10_SA,CH10,CH10_Elev,CH10_Azmth,CH11_SA,CH11,CH11_Elev,CH11_Azmth,CH12_SA,CH12,CH12_Elev,CH12_Azmth,vel_lon,vel_lat,vel_alt
05-22-2020  01:58:55,,0.000000,-0.096325,0.001392,0.004425,0.001953,0.000000,30,0,0,16,43.36,0,0,65,45.30,0,0,72,45.30,0,0,78,43.60,0,0,207,0.00,0,0,16,43.36,0,0,16,43.36,0,0,16,43.36,0,0,16,43.36,0,0,16,43.36,0,0,16,43.36,0,0,16,43.36,0,0,0.000,0.000,0.000
05-22-2020  01:58:56,,0.000000,-0.095962,0.005944,0.004453,0.001953,0.000000,30,0,0,16,43.27,0,0,65,45.50,0,0,72,45.50,0,0,78,43.90,0,0,207,0.00,0,0,16,43.27,0,0,16,43.27,0,0,16,43.27,0,0,16,43.27,0,0,16,43.27,0,0,16,43.27,0,0,16,43.27,0,0,0.000,0.000,0.000
05-22-2020  01:58:57,,0.000000,-0.096165,0.003318,0.004123,0.001953,0.000000,30,0,0,16,43.40,0,0,65,45.40,0,0,72,45.30,0,0,78,43.80,0,0,207,0.00,0,0,16,43.40,0,0,16,43.40,0,0,16,43.40,0,0,16,43.40,0,0,16,43.40,0,0,16,43.40,0,0,16,43.40,0,0,0.000,0.000,0.000
05-22-2020  01:58:58,,0.000000,-0.096040,0.002048,0.003279,0.001954,0.000000,30,0,0,16,43.48,0,0,65,45.10,0,0,72,45.00,0,0,78,43.50,0,0,207,0.00,0,0,16,43.48,0,0,16,43.48,0,0,16,43.48,0,0,16,43.48,0,0,16,43.48,0,0,16,43.48,0,0,16,43.48,0,0,0.000,0.000,0.000
05-22-2020  01:58:59,,0.000000,-0.096046,0.000109,0.002222,0.001954,0.000000,30,0,0,16,43.29,0,0,65,45.00,0,0,72,44.90,0,0,78,43.50,0,0,207,0.00,0,0,16,43.29,0,0,16,43.29,0,0,16,43.29,0,0,16,43.29,0,0,16,43.29,0,0,16,43.29,0,0,16,43.29,0,0,0.000,0.000,0.000
05-22-2020  01:59:00,,0.000000,-0.095891,0.002536,0.002024,0.001955,0.000000,30,0,0,16,43.33,0,0,65,45.30,0,0,72,45.30,0,0,78,43.70,0,0,207,0.00,0,0,16,43.33,0,0,16,43.33,0,0,16,43.33,0,0,16,43.33,0,0,16,43.33,0,0,16,43.33,0,0,16,43.33,0,0,0.000,0.000,0.000
05-22-2020  01:59:01,,0.000000,-0.095890,0.000020,0.001866,0.001955,0.000000,30,0,0,16,43.21,0,0,65,45.40,0,0,72,45.40,0,0,78,43.90,0,0,207,0.00,0,0,16,43.21,0,0,16,43.21,0,0,16,43.21,0,0,16,43.21,0,0,16,43.21,0,0,16,43.21,0,0,16,43.21,0,0,0.000,0.000,0.000
05-22-2020  01:59:02,,0.000000,-0.095841,0.000809,0.001911,0.001956,0.000000,30,0,0,16,43.29,0,0,65,45.40,0,0,72,45.30,0,0,78,43.80,0,0,207,0.00,0,0,16,43.29,0,0,16,43.29,0,0,16,43.29,0,0,16,43.29,0,0,16,43.29,0,0,16,43.29,0,0,16,43.29,0,0,0.000,0.000,0.000
05-22-2020  01:59:03,,0.000000,-0.095721,0.001955,0.002030,0.001956,0.000000,30,0,0,16,43.37,0,0,65,45.00,0,0,72,45.00,0,0,78,43.50,0,0,207,0.00,0,0,16,43.37,0,0,16,43.37,0,0,16,43.37,0,0,16,43.37,0,0,16,43.37,0,0,16,43.37,0,0,16,43.37,0,0,0.000,0.000,0.000
05-22-2020  01:59:04,,0.000000,-0.096051,0.005403,0.002353,0.001957,0.000000,30,0,0,16,43.20,0,0,65,45.00,0,0,72,45.00,0,0,78,43.40,0,0,207,0.00,0,0,16,43.20,0,0,16,43.20,0,0,16,43.20,0,0,16,43.20,0,0,16,43.20,0,0,16,43.20,0,0,16,43.20,0,0,0.000,0.000,0.000
05-22-2020  01:59:05,,0.000000,-0.095769,0.005403,0.002353,0.001957,0.000000,30,0,0,16,43.31,0,0,65,45.20,0,0,72,45.20,0,0,78,43.60,0,0,207,0.00,0,0,16,43.31,0,0,16,43.31,0,0,16,43.31,0,0,16,43.31,0,0,16,43.31,0,0,16,43.31,0,0,16,43.31,0,0,0.000,0.000,0.000
05-22-2020  01:59:06,,0.000000,-0.096023,0.000469,0.002261,0.001958,0.000000,30,0,0,16,43.29,0,0,65,45.50,0,0,72,45.50,0,0,78,43.90,0,0,207,0.00,0,0,16,43.29,0,0,16,43.29,0,0,16,43.29,0,0,16,43.29,0,0,16,43.29,0,0,16,43.29,0,0,16,43.29,0,0,0.000,0.000,0.000
05-22-2020  01:59:07,,0.000000,-0.095808,0.003522,0.002019,0.001958,0.000000,30,0,0,16,43.29,0,0,65,45.30,0,0,72,45.40,0,0,78,43.80,0,0,207,0.00,0,0,16,43.29,0,0,16,43.29,0,0,16,43.29,0,0,16,43.29,0,0,16,43.29,0,0,16,43.29,0,0,16,43.29,0,0,0.000,0.000,0.000
05-22-2020  01:59:08,,0.000000,-0.095762,0.000741,0.001761,0.001958,0.000000,30,0,0,16,43.40,0,0,65,45.00,0,0,72,45.10,0,0,78,43.50,0,0,207,0.00,0,0,16,43.40,0,0,16,43.40,0,0,16,43.40,0,0,16,43.40,0,0,16,43.40,0,0,16,43.40,0,0,16,43.40,0,0,0.000,0.000,0.000
05-22-2020  01:59:09,,0.000000,-0.095752,0.000172,0.001574,0.001959,0.000000,30,0,0,16,43.20,0,0,65,45.00,0,0,72,45.10,0,0,78,43.40,0,0,207,0.00,0,0,16,43.20,0,0,16,43.20,0,0,16,43.20,0,0,16,43.20,0,0,16,43.20,0,0,16,43.20,0,0,16,43.20,0,0,0.000,0.000,0.000
