Offset Frequency (Hz),Phase Noise (dBc/Hz)
+1.00000000000e+000,+4.58432543818e+001
+1.01800975118e+000,+4.53781507290e+001
+1.03634385350e+000,+4.49130475349e+001
+1.05500814844e+000,+4.44479448164e+001
+1.07400858268e+000,+4.39828425907e+001
+1.09335121002e+000,+4.35177408758e+001
+1.11304219327e+000,+4.30526396900e+001
+1.13308780622e+000,+4.25875390528e+001
+1.15349443568e+000,+4.21224389840e+001
+1.17426858345e+000,+4.74059437164e+001
+1.19541686846e+000,+4.69408448471e+001
+1.21694602882e+000,+4.64757466106e+001
+1.23886292399e+000,+4.60106490297e+001
+1.26117453700e+000,+4.55455521283e+001
+1.28388797661e+000,+4.30771399703e+001
+1.30701047961e+000,+4.26120445029e+001
+1.33054941314e+000,+4.21469497917e+001
+1.35451227700e+000,+4.16818558643e+001
+1.37890670608e+000,+4.12167627491e+001
+1.40374047276e+000,+3.99252838771e+001
+1.42902148939e+000,+3.94601924760e+001
+1.45475781085e+000,+3.89951019789e+001
+1.48095763705e+000,+3.85300124187e+001
+1.50762931560e+000,+4.09209823969e+001
+1.53478134445e+000,+4.04558948138e+001
+1.56242237458e+000,+3.99908082734e+001
+1.59056121278e+000,+3.95257228136e+001
+1.61920682446e+000,+3.91249196231e+001
+1.64836833648e+000,+3.86598364438e+001
+1.67805504007e+000,+3.81947544672e+001
+1.70827639381e+000,+3.77296737370e+001
+1.73904202661e+000,+3.65433798531e+001
+1.77036174080e+000,+3.60783017533e+001
+1.80224551525e+000,+3.56132250407e+001
+1.83470350855e+000,+3.51481497657e+001
+1.86774606222e+000,+3.51825607868e+001
+1.90138370407e+000,+3.47174885457e+001
+1.93562715148e+000,+3.42524179047e+001
+1.97048731486e+000,+3.43572147196e+001
+2.00597530110e+000,+3.38921474552e+001
+2.04210241715e+000,+3.34270819717e+001
+2.07888017356e+000,+3.18101062884e+001
+2.11632028822e+000,+3.13450445630e+001
+2.15443469003e+000,+3.08799848196e+001
+2.19323552273e+000,+2.96469124366e+001
+2.23273514878e+000,+2.91818568758e+001
+2.27294615326e+000,+2.87168035209e+001
+2.31388134792e+000,+2.99886747622e+001
+2.35555377526e+000,+2.95236260623e+001
+2.39797671264e+000,+2.90585798175e+001
+2.44116367658e+000,+2.87244681195e+001
+2.48512842698e+000,+2.82594270556e+001
+2.52988497160e+000,+2.77943887240e+001
+2.57544757045e+000,+2.51582712764e+001
+2.62183074038e+000,+2.46932387107e+001
+2.66904925965e+000,+2.43916916709e+001
+2.71711817270e+000,+2.39266652974e+001
+2.76605279492e+000,+2.34616421896e+001
+2.81586871751e+000,+2.32931415610e+001
+2.86658181246e+000,+2.28281253446e+001
+2.91820823764e+000,+2.39009952949e+001
+2.97076444190e+000,+2.34359864793e+001
+3.02426717031e+000,+2.28140350195e+001
+3.07873346955e+000,+2.23490341516e+001
+3.13418069329e+000,+2.07091051135e+001
+3.19062650773e+000,+2.02441127808e+001
+3.24808889724e+000,+1.95033752220e+001
+3.30658617009e+000,+1.90383920552e+001
+3.36613696427e+000,+1.89442437536e+001
+3.42676025343e+000,+1.84792704299e+001
+3.48847535295e+000,+1.92346313604e+001
+3.55130192606e+000,+1.87696686069e+001
+3.61525999011e+000,+1.41733391292e+001
+3.68036992298e+000,+1.37083877268e+001
+3.74665246955e+000,+1.62216239106e+001
+3.81412874828e+000,+1.30735457040e+001
+3.88282025801e+000,+1.26086129193e+001
+3.95274888473e+000,+1.45580998851e+001
+4.02393690862e+000,+1.40931806647e+001
+4.09640701111e+000,+1.29468370225e+001
+4.17018228212e+000,+1.46627680458e+001
+4.24528622739e+000,+1.41978710723e+001
+4.32174277604e+000,+1.29971554032e+001
+4.39957628810e+000,+1.22587147572e+001
+4.47881156235e+000,+1.17938425386e+001
+4.55947384417e+000,+1.13118396818e+001
+4.64158883361e+000,+1.15245801996e+001
+4.72518269359e+000,+1.10597355258e+001
+4.81028205818e+000,+1.14298166028e+001
+4.89691404115e+000,+1.08622517902e+001
+4.98510624459e+000,+9.76089083884e+000
+5.07488676766e+000,+9.29608777737e+000
+5.16628421561e+000,+7.46209290400e+000
+5.25932770886e+000,+8.13843928967e+000
+5.35404689227e+000,+9.58617807935e+000
+5.45047194461e+000,+8.31435645027e+000
+5.54863358815e+000,+8.48533400232e+000
+5.64856309846e+000,+8.02060558474e+000
+5.75029231439e+000,+5.31525363372e+000
+5.85385364818e+000,+5.29192201991e+000
+5.95928009583e+000,+5.94388393116e+000
+6.06660524757e+000,+1.93706135916e+000
+6.17586329859e+000,+3.13196167262e+000
+6.28708905992e+000,+4.03774280146e+000
+6.40031796953e+000,+5.50747375765e+000
+6.51558610364e+000,+4.11124133343e+000
+6.63293018816e+000,+6.88601121680e-001
+6.75238761044e+000,+1.18030109423e+000
+6.87399643118e+000,+2.78007350353e+000
+6.99779539652e+000,+2.84090565264e+000
+7.12382395042e+000,+1.03463292518e-001
+7.25212224722e+000,-2.78709740983e-001
+7.38273116442e+000,-4.54031232367e+000
+7.51569231572e+000,-7.37712155335e+000
+7.65104806427e+000,-2.09814536904e+000
+7.78884153618e+000,-2.34535675785e+000
+7.92911663423e+000,-2.06501558998e+000
+8.07191805189e+000,-4.12145078753e+000
+8.21729128755e+000,-5.36939002617e+000
+8.36528265901e+000,-4.84192715328e+000
+8.51593931825e+000,-3.61208516434e+000
+8.66930926644e+000,-2.95829923154e+000
+8.82544136923e+000,-3.74758224789e+000
+8.98438537235e+000,-9.66366093116e+000
+9.14619191741e+000,-6.17865363764e+000
+9.31091255809e+000,-7.13528403174e+000
+9.47859977652e+000,-7.77820395030e+000
+9.64930700003e+000,-1.00749406391e+001
+9.82308861817e+000,-1.05943532590e+001
+1.00000000000e+001,-1.01510822343e+001
+1.01800975118e+001,-9.31713022481e+000
+1.03634385350e+001,-7.15007013011e+000
+1.05500814844e+001,-9.08101277958e+000
+1.07400858268e+001,-1.23011618438e+001
+1.09335121002e+001,-1.30582097579e+001
+1.11304219327e+001,-1.16551232694e+001
+1.13308780622e+001,-1.14193762997e+001
+1.15349443568e+001,-1.19625763545e+001
+1.17426858345e+001,-1.14960341494e+001
+1.19541686846e+001,-1.39174240763e+001
+1.21694602882e+001,-1.31935754767e+001
+1.23886292399e+001,-1.32219984834e+001
+1.26117453700e+001,-1.26829089070e+001
+1.28388797661e+001,-1.57618307111e+001
+1.30701047961e+001,-1.68141194063e+001
+1.33054941314e+001,-1.57454572830e+001
+1.35451227700e+001,-1.61292285541e+001
+1.37890670608e+001,-1.79582787346e+001
+1.40374047276e+001,-1.70519309757e+001
+1.42902148939e+001,-1.66392619522e+001
+1.45475781085e+001,-1.82328218480e+001
+1.48095763705e+001,-1.73279433497e+001
+1.50762931560e+001,-1.79046984904e+001
+1.53478134445e+001,-1.70242253478e+001
+1.56242237458e+001,-1.69698768717e+001
+1.59056121278e+001,-1.89818734942e+001
+1.61920682446e+001,-1.86728764551e+001
+1.64836833648e+001,-1.84106175506e+001
+1.67805504007e+001,-2.18315092752e+001
+1.70827639381e+001,-1.99282295785e+001
+1.73904202661e+001,-1.74784300275e+001
+1.77036174080e+001,-1.93486144507e+001
+1.80224551525e+001,-1.94081356524e+001
+1.83470350855e+001,-2.03866000125e+001
+1.86774606222e+001,-1.85398100012e+001
+1.90138370407e+001,-1.91815791838e+001
+1.93562715148e+001,-2.10758994242e+001
+1.97048731486e+001,-2.29992849850e+001
+2.00597530110e+001,-2.13124807877e+001
+2.04210241715e+001,-2.29607595855e+001
+2.07888017356e+001,-2.24652207656e+001
+2.11632028822e+001,-2.24062868082e+001
+2.15443469003e+001,-1.98177925651e+001
+2.19323552273e+001,-2.22607339657e+001
+2.23273514878e+001,-2.28958854298e+001
+2.27294615326e+001,-2.28150848969e+001
+2.31388134792e+001,-2.30407932664e+001
+2.35555377526e+001,-2.42597681474e+001
+2.39797671264e+001,-2.51428335538e+001
+2.44116367658e+001,-2.44125184902e+001
+2.48512842698e+001,-2.58746782523e+001
+2.52988497160e+001,-2.43296691388e+001
+2.57544757045e+001,-2.56711248680e+001
+2.62183074038e+001,-2.55397779971e+001
+2.66904925965e+001,-2.46387117254e+001
+2.71711817270e+001,-2.35933534758e+001
+2.76605279492e+001,-2.46076698896e+001
+2.81586871751e+001,-2.74313356131e+001
+2.86658181246e+001,-2.60652957655e+001
+2.91820823764e+001,-2.81874458860e+001
+2.97076444190e+001,-2.72137023729e+001
+3.02426717031e+001,-2.45341704266e+001
+3.07873346955e+001,-2.81300009570e+001
+3.13418069329e+001,-2.76609766267e+001
+3.19062650773e+001,-2.57596853985e+001
+3.24808889724e+001,-2.71213277397e+001
+3.30658617009e+001,-2.76278943758e+001
+3.36613696427e+001,-2.65943592691e+001
+3.42676025343e+001,-2.75823609916e+001
+3.48847535295e+001,-2.81438903945e+001
+3.55130192606e+001,-2.61749599248e+001
+3.61525999011e+001,-2.92010337596e+001
+3.68036992298e+001,-2.60162828058e+001
+3.74665246955e+001,-2.77844499602e+001
+3.81412874828e+001,-2.96957848802e+001
+3.88282025801e+001,-2.78635207391e+001
+3.95274888473e+001,-2.91165349793e+001
+4.02393690862e+001,-2.89132980901e+001
+4.09640701111e+001,-2.84508243765e+001
+4.17018228212e+001,-2.81618666903e+001
