Offset Frequency (Hz),Phase Noise (dBc/Hz)
+1.00000000000e+000,-1.08635637899e+002
+1.01800975118e+000,-1.08693656867e+002
+1.03634385350e+000,-1.00428811595e+002
+1.05500814844e+000,-1.00483814009e+002
+1.07400858268e+000,-9.98284038929e+001
+1.09335121002e+000,-1.02746775220e+002
+1.11304219327e+000,-1.02797769395e+002
+1.13308780622e+000,-1.12099371536e+002
+1.15349443568e+000,-1.02941611735e+002
+1.17426858345e+000,-1.02993141725e+002
+1.19541686846e+000,-1.01283167513e+002
+1.21694602882e+000,-1.02377853185e+002
+1.23886292399e+000,-1.02426768878e+002
+1.26117453700e+000,-1.01808480219e+002
+1.28388797661e+000,-1.00748280273e+002
+1.30701047961e+000,-9.91350674409e+001
+1.33054941314e+000,-1.04236270405e+002
+1.35451227700e+000,-1.04293735078e+002
+1.37890670608e+000,-1.03952538061e+002
+1.40374047276e+000,-1.08510539871e+002
+1.42902148939e+000,-1.06562075340e+002
+1.45475781085e+000,-1.14969880839e+002
+1.48095763705e+000,-1.00589157886e+002
+1.50762931560e+000,-9.90178069855e+001
+1.53478134445e+000,-9.90554153841e+001
+1.56242237458e+000,-1.07230958118e+002
+1.59056121278e+000,-1.02788004171e+002
+1.61920682446e+000,-1.02054224519e+002
+1.64836833648e+000,-1.03415732405e+002
+1.67805504007e+000,-1.01753536321e+002
+1.70827639381e+000,-1.00198338920e+002
+1.73904202661e+000,-1.04273474251e+002
+1.77036174080e+000,-1.06333029073e+002
+1.80224551525e+000,-1.03618232229e+002
+1.83470350855e+000,-1.03316232024e+002
+1.86774606222e+000,-1.01897039810e+002
+1.90138370407e+000,-1.03221673820e+002
+1.93562715148e+000,-1.01424917883e+002
+1.97048731486e+000,-1.03034224991e+002
+2.00597530110e+000,-1.07057780519e+002
+2.04210241715e+000,-1.06201078812e+002
+2.07888017356e+000,-1.00869387753e+002
+2.11632028822e+000,-1.03074665994e+002
+2.15443469003e+000,-1.08719602896e+002
+2.19323552273e+000,-1.03373763524e+002
+2.23273514878e+000,-1.06933095558e+002
+2.27294615326e+000,-1.08686839990e+002
+2.31388134792e+000,-1.07669067667e+002
+2.35555377526e+000,-1.08263800130e+002
+2.39797671264e+000,-1.03129260976e+002
+2.44116367658e+000,-1.06034841299e+002
+2.48512842698e+000,-1.01918144230e+002
+2.52988497160e+000,-1.01940236714e+002
+2.57544757045e+000,-1.04985252472e+002
+2.62183074038e+000,-1.02632712637e+002
+2.66904925965e+000,-1.05129042775e+002
+2.71711817270e+000,-1.01648657890e+002
+2.76605279492e+000,-1.05176768948e+002
+2.81586871751e+000,-1.11994861670e+002
+2.86658181246e+000,-1.05766303024e+002
+2.91820823764e+000,-1.08427706246e+002
+2.97076444190e+000,-1.09669812354e+002
+3.02426717031e+000,-1.08067921248e+002
+3.07873346955e+000,-1.07524911052e+002
+3.13418069329e+000,-1.05205216212e+002
+3.19062650773e+000,-1.06189360890e+002
+3.24808889724e+000,-1.00211736756e+002
+3.30658617009e+000,-9.81342481334e+001
+3.36613696427e+000,-1.09381469251e+002
+3.42676025343e+000,-1.10916655217e+002
+3.48847535295e+000,-1.05819249149e+002
+3.55130192606e+000,-1.05244878316e+002
+3.61525999011e+000,-1.07608796322e+002
+3.68036992298e+000,-1.09802701250e+002
+3.74665246955e+000,-1.09145277101e+002
+3.81412874828e+000,-1.08668832149e+002
+3.88282025801e+000,-1.07117829257e+002
+3.95274888473e+000,-1.12371733545e+002
+4.02393690862e+000,-1.06049094102e+002
+4.09640701111e+000,-1.07981647974e+002
+4.17018228212e+000,-1.05492635605e+002
+4.24528622739e+000,-1.06520232906e+002
+4.32174277604e+000,-1.11063558464e+002
+4.39957628810e+000,-1.08780273833e+002
+4.47881156235e+000,-1.09063387784e+002
+4.55947384417e+000,-1.09803359189e+002
+4.64158883361e+000,-1.03088616986e+002
+4.72518269359e+000,-1.14377287624e+002
+4.81028205818e+000,-1.08136155724e+002
+4.89691404115e+000,-1.14949994618e+002
+4.98510624459e+000,-1.09493713276e+002
+5.07488676766e+000,-1.06191406570e+002
+5.16628421561e+000,-1.10221323609e+002
+5.25932770886e+000,-1.06496528717e+002
+5.35404689227e+000,-1.10113857680e+002
+5.45047194461e+000,-1.10018120079e+002
+5.54863358815e+000,-1.09531333894e+002
+5.64856309846e+000,-1.06707262907e+002
+5.75029231439e+000,-1.03551961850e+002
+5.85385364818e+000,-1.08732106977e+002
+5.95928009583e+000,-1.09780783383e+002
+6.06660524757e+000,-1.12031800512e+002
+6.17586329859e+000,-1.07682086818e+002
+6.28708905992e+000,-1.13897760069e+002
+6.40031796953e+000,-1.07892739456e+002
+6.51558610364e+000,-1.06267426435e+002
+6.63293018816e+000,-1.11271169160e+002
+6.75238761044e+000,-1.08013626319e+002
+6.87399643118e+000,-1.05177557085e+002
+6.99779539652e+000,-1.06684008724e+002
+7.12382395042e+000,-1.07892870631e+002
+7.25212224722e+000,-1.14292681718e+002
+7.38273116442e+000,-1.10559727947e+002
+7.51569231572e+000,-1.13102933063e+002
+7.65104806427e+000,-1.11715826456e+002
+7.78884153618e+000,-1.13403400425e+002
+7.92911663423e+000,-1.10625400394e+002
+8.07191805189e+000,-1.07668092790e+002
+8.21729128755e+000,-1.08156045727e+002
+8.36528265901e+000,-1.10347008302e+002
+8.51593931825e+000,-1.12208080143e+002
+8.66930926644e+000,-1.11191898902e+002
+8.82544136923e+000,-1.12457024249e+002
+8.98438537235e+000,-1.12216101484e+002
+9.14619191741e+000,-1.13426900489e+002
+9.31091255809e+000,-1.18327663467e+002
+9.47859977652e+000,-1.10012330861e+002
+9.64930700003e+000,-1.14318544766e+002
+9.82308861817e+000,-1.11635216250e+002
+1.00000000000e+001,-1.13685446682e+002
+1.01800975118e+001,-1.08167837360e+002
+1.03634385350e+001,-1.14089672335e+002
+1.05500814844e+001,-1.09071552902e+002
+1.07400858268e+001,-1.13617696504e+002
+1.09335121002e+001,-1.14314367069e+002
+1.11304219327e+001,-1.06929631064e+002
+1.13308780622e+001,-1.15285361016e+002
+1.15349443568e+001,-1.11147343021e+002
+1.17426858345e+001,-1.12890724103e+002
+1.19541686846e+001,-1.11039629682e+002
+1.21694602882e+001,-1.11524205720e+002
+1.23886292399e+001,-1.10616202394e+002
+1.26117453700e+001,-1.17225159756e+002
+1.28388797661e+001,-1.18489506423e+002
+1.30701047961e+001,-1.14761934811e+002
+1.33054941314e+001,-1.15607692389e+002
+1.35451227700e+001,-1.11714149137e+002
+1.37890670608e+001,-1.09630675225e+002
+1.40374047276e+001,-1.10977977758e+002
+1.42902148939e+001,-1.13662062903e+002
+1.45475781085e+001,-1.14289313957e+002
+1.48095763705e+001,-1.13639502649e+002
+1.50762931560e+001,-1.12959118860e+002
+1.53478134445e+001,-1.17428435990e+002
+1.56242237458e+001,-1.16489005428e+002
+1.59056121278e+001,-1.13955149388e+002
+1.61920682446e+001,-1.15441297713e+002
+1.64836833648e+001,-1.13344581539e+002
+1.67805504007e+001,-1.15185919903e+002
+1.70827639381e+001,-1.15583855395e+002
+1.73904202661e+001,-1.17027460065e+002
+1.77036174080e+001,-1.15538736255e+002
+1.80224551525e+001,-1.15923604270e+002
+1.83470350855e+001,-1.17522942325e+002
+1.86774606222e+001,-1.14355790060e+002
+1.90138370407e+001,-1.12987337960e+002
+1.93562715148e+001,-1.11895320896e+002
+1.97048731486e+001,-1.15173610128e+002
+2.00597530110e+001,-1.20020918980e+002
