Offset Frequency (Hz),Phase Noise (dBc/Hz)
+1.00000000000e+000,-5.56634341432e+001
+1.01800975118e+000,-5.61284474065e+001
+1.03634385350e+000,-5.65934569283e+001
+1.05500814844e+000,-5.70584625725e+001
+1.07400858268e+000,-5.75234641986e+001
+1.09335121002e+000,-5.79884616608e+001
+1.11304219327e+000,-5.84534548078e+001
+1.13308780622e+000,-5.89184434831e+001
+1.15349443568e+000,-5.93834275244e+001
+1.17426858345e+000,-6.10304619415e+001
+1.19541686846e+000,-6.14954362044e+001
+1.21694602882e+000,-6.19604053103e+001
+1.23886292399e+000,-6.24253690723e+001
+1.26117453700e+000,-6.28903272964e+001
+1.28388797661e+000,-6.48901123137e+001
+1.30701047961e+000,-6.53550588521e+001
+1.33054941314e+000,-6.58199992280e+001
+1.35451227700e+000,-6.62849332177e+001
+1.37890670608e+000,-6.67498605898e+001
+1.40374047276e+000,-6.72593661163e+001
+1.42902148939e+000,-6.77242795245e+001
+1.45475781085e+000,-6.81891855688e+001
+1.48095763705e+000,-6.86540839822e+001
+1.50762931560e+000,-6.48415083235e+001
+1.53478134445e+000,-6.53063906354e+001
+1.56242237458e+000,-6.57712644562e+001
+1.59056121278e+000,-6.62361294784e+001
+1.61920682446e+000,-6.50337902956e+001
+1.64836833648e+000,-6.54986367523e+001
+1.67805504007e+000,-6.59634734189e+001
+1.70827639381e+000,-6.64282999408e+001
+1.73904202661e+000,-6.70614686835e+001
+1.77036174080e+000,-6.75262738004e+001
+1.80224551525e+000,-6.79910676302e+001
+1.83470350855e+000,-6.84558497641e+001
+1.86774606222e+000,-6.94095277338e+001
+1.90138370407e+000,-6.98742851908e+001
+1.93562715148e+000,-7.03390296356e+001
+1.97048731486e+000,-6.89153347096e+001
+2.00597530110e+000,-6.93800517007e+001
+2.04210241715e+000,-6.98447542157e+001
+2.07888017356e+000,-7.05656833632e+001
+2.11632028822e+000,-7.10303553369e+001
+2.15443469003e+000,-7.14950112069e+001
+2.19323552273e+000,-7.27256545331e+001
+2.23273514878e+000,-7.31902764288e+001
+2.27294615326e+000,-7.36548804113e+001
+2.31388134792e+000,-7.52276267620e+001
+2.35555377526e+000,-7.56921929540e+001
+2.39797671264e+000,-7.61567392212e+001
+2.44116367658e+000,-7.62889749933e+001
+2.48512842698e+000,-7.67534792280e+001
+2.52988497160e+000,-7.72179613023e+001
+2.57544757045e+000,-7.57127231959e+001
+2.62183074038e+000,-7.61771585232e+001
+2.66904925965e+000,-7.56018680183e+001
+2.71711817270e+000,-7.60662531679e+001
+2.76605279492e+000,-7.65306118649e+001
+2.81586871751e+000,-7.65362754117e+001
+2.86658181246e+000,-7.70005783116e+001
+2.91820823764e+000,-7.52425619047e+001
+2.97076444190e+000,-7.57068049195e+001
+3.02426717031e+000,-7.50393527560e+001
+3.07873346955e+000,-7.55035315011e+001
+3.13418069329e+000,-7.69874060883e+001
+3.19062650773e+000,-7.74515158620e+001
+3.24808889724e+000,-7.71618612590e+001
+3.30658617009e+000,-7.76258970200e+001
+3.36613696427e+000,-7.92539159530e+001
+3.42676025343e+000,-7.97178722967e+001
+3.48847535295e+000,-7.88768412059e+001
+3.55130192606e+000,-7.93407123383e+001
+3.61525999011e+000,-7.91121728329e+001
+3.68036992298e+000,-7.95759525441e+001
+3.74665246955e+000,-8.10501084943e+001
+3.81412874828e+000,-8.03407701218e+001
+3.88282025801e+000,-8.08044000762e+001
+3.95274888473e+000,-7.71025717143e+001
+4.02393690862e+000,-7.75660927084e+001
+4.09640701111e+000,-7.85282736762e+001
+4.17018228212e+000,-8.22663634222e+001
+4.24528622739e+000,-8.27297059782e+001
+4.32174277604e+000,-8.41820568021e+001
+4.39957628810e+000,-8.35514997445e+001
+4.47881156235e+000,-8.40146441389e+001
+4.55947384417e+000,-8.27225780624e+001
+4.64158883361e+000,-8.30043796329e+001
+4.72518269359e+000,-8.34673040173e+001
+4.81028205818e+000,-8.37081833989e+001
+4.89691404115e+000,-8.11269484155e+001
+4.98510624459e+000,-8.02571973722e+001
+5.07488676766e+000,-8.07197903445e+001
+5.16628421561e+000,-8.39770446306e+001
+5.25932770886e+000,-8.56383800994e+001
+5.35404689227e+000,-8.59175633315e+001
+5.45047194461e+000,-8.62548513653e+001
+5.54863358815e+000,-8.74104213298e+001
+5.64856309846e+000,-8.78724227017e+001
+5.75029231439e+000,-8.67183024518e+001
+5.85385364818e+000,-8.54012647948e+001
+5.95928009583e+000,-8.38973638756e+001
+6.06660524757e+000,-8.43062991483e+001
+6.17586329859e+000,-8.59995823192e+001
+6.28708905992e+000,-8.70553697121e+001
+6.40031796953e+000,-8.73433039655e+001
+6.51558610364e+000,-8.75410350829e+001
+6.63293018816e+000,-8.80172883658e+001
+6.75238761044e+000,-8.79348002951e+001
+6.87399643118e+000,-8.71681674817e+001
+6.99779539652e+000,-8.55314567058e+001
+7.12382395042e+000,-8.64563474155e+001
+7.25212224722e+000,-8.78917278018e+001
+7.38273116442e+000,-8.94245369724e+001
+7.51569231572e+000,-8.97097202836e+001
+7.65104806427e+000,-8.93541151292e+001
+7.78884153618e+000,-8.97963548549e+001
+7.92911663423e+000,-9.00094856139e+001
+8.07191805189e+000,-9.03151643748e+001
+8.21729128755e+000,-9.09832712878e+001
+8.36528265901e+000,-9.07781890373e+001
+8.51593931825e+000,-9.12022845645e+001
+8.66930926644e+000,-9.11163338014e+001
+8.82544136923e+000,-9.09101579932e+001
+8.98438537235e+000,-9.07558571330e+001
+9.14619191741e+000,-9.10054798593e+001
+9.31091255809e+000,-9.16479762615e+001
+9.47859977652e+000,-9.16507940692e+001
