Offset Frequency (Hz),Phase Noise (dBc/Hz)
+1.00000000000e+000,-5.34484327441e+001
+1.01800975118e+000,-5.39134460074e+001
+1.03634385350e+000,-5.43784555291e+001
+1.05500814844e+000,-5.48434611734e+001
+1.07400858268e+000,-5.53084627995e+001
+1.09335121002e+000,-5.57734602617e+001
+1.11304219327e+000,-5.62384534087e+001
+1.13308780622e+000,-5.67034420840e+001
+1.15349443568e+000,-5.71684261253e+001
+1.17426858345e+000,-5.95079228520e+001
+1.19541686846e+000,-5.99728971148e+001
+1.21694602882e+000,-6.04378662208e+001
+1.23886292399e+000,-6.09028299827e+001
+1.26117453700e+000,-6.13677882068e+001
+1.28388797661e+000,-6.30224436610e+001
+1.30701047961e+000,-6.34873901994e+001
+1.33054941314e+000,-6.39523305753e+001
+1.35451227700e+000,-6.44172645651e+001
+1.37890670608e+000,-6.48821919372e+001
+1.40374047276e+000,-6.55266056903e+001
+1.42902148939e+000,-6.59915190985e+001
+1.45475781085e+000,-6.64564251428e+001
+1.48095763705e+000,-6.69213235562e+001
+1.50762931560e+000,-7.04174737281e+001
+1.53478134445e+000,-7.08823560400e+001
+1.56242237458e+000,-7.13472298608e+001
+1.59056121278e+000,-7.18120948830e+001
+1.61920682446e+000,-6.79224171004e+001
+1.64836833648e+000,-6.83872635571e+001
+1.67805504007e+000,-6.88521002237e+001
+1.70827639381e+000,-6.93169267456e+001
+1.73904202661e+000,-6.96056337762e+001
+1.77036174080e+000,-7.00704388931e+001
+1.80224551525e+000,-7.05352327229e+001
+1.83470350855e+000,-7.10000148568e+001
+1.86774606222e+000,-7.25940661885e+001
+1.90138370407e+000,-7.30588236455e+001
+1.93562715148e+000,-7.35235680903e+001
+1.97048731486e+000,-6.99209573195e+001
+2.00597530110e+000,-7.03856743106e+001
+2.04210241715e+000,-7.08503768256e+001
+2.07888017356e+000,-6.80413148147e+001
+2.11632028822e+000,-6.85059867883e+001
+2.15443469003e+000,-6.89706426583e+001
+2.19323552273e+000,-6.98508186683e+001
+2.23273514878e+000,-7.03154405640e+001
+2.27294615326e+000,-7.07800445466e+001
+2.31388134792e+000,-7.14314321089e+001
+2.35555377526e+000,-7.18959983008e+001
+2.39797671264e+000,-7.23605445680e+001
+2.44116367658e+000,-7.30876486818e+001
+2.48512842698e+000,-7.35521529164e+001
+2.52988497160e+000,-7.40166349907e+001
+2.57544757045e+000,-7.38584105157e+001
+2.62183074038e+000,-7.43228458430e+001
+2.66904925965e+000,-7.40988992393e+001
+2.71711817270e+000,-7.45632843890e+001
+2.76605279492e+000,-7.50276430859e+001
+2.81586871751e+000,-7.79042555788e+001
+2.86658181246e+000,-7.83685584787e+001
+2.91820823764e+000,-8.01348743486e+001
+2.97076444190e+000,-8.05991173633e+001
+3.02426717031e+000,-7.71615358472e+001
+3.07873346955e+000,-7.76257145922e+001
+3.13418069329e+000,-7.97492089710e+001
+3.19062650773e+000,-8.02133187447e+001
+3.24808889724e+000,-8.45340422294e+001
+3.30658617009e+000,-8.49980779905e+001
+3.36613696427e+000,-8.14592576118e+001
+3.42676025343e+000,-8.19232139554e+001
+3.48847535295e+000,-8.03074532636e+001
+3.55130192606e+000,-8.07713243959e+001
+3.61525999011e+000,-7.86501697940e+001
+3.68036992298e+000,-7.91139495053e+001
+3.74665246955e+000,-7.91997373012e+001
+3.81412874828e+000,-8.08515059241e+001
+3.88282025801e+000,-8.13151358785e+001
+3.95274888473e+000,-7.88352952525e+001
+4.02393690862e+000,-7.92988162466e+001
+4.09640701111e+000,-7.94428023012e+001
+4.17018228212e+000,-7.22713253220e+001
+4.24528622739e+000,-7.27346678780e+001
+4.32174277604e+000,-7.17755569782e+001
+4.39957628810e+000,-7.86041577582e+001
+4.47881156235e+000,-7.90673021526e+001
+4.55947384417e+000,-8.28761932362e+001
+4.64158883361e+000,-8.29224961384e+001
+4.72518269359e+000,-8.33854205229e+001
+4.81028205818e+000,-8.30858953754e+001
+4.89691404115e+000,-8.36933396826e+001
+4.98510624459e+000,-8.39852189913e+001
+5.07488676766e+000,-8.44478119636e+001
+5.16628421561e+000,-8.54841791600e+001
+5.25932770886e+000,-8.41627116641e+001
+5.35404689227e+000,-8.36132250285e+001
+5.45047194461e+000,-8.44005296942e+001
+5.54863358815e+000,-8.55926738297e+001
+5.64856309846e+000,-8.60546752016e+001
+5.75029231439e+000,-8.72540536870e+001
+5.85385364818e+000,-8.80588490628e+001
+5.95928009583e+000,-9.02491549650e+001
+6.06660524757e+000,-8.93404570982e+001
+6.17586329859e+000,-8.71393484064e+001
+6.28708905992e+000,-8.81856688103e+001
+6.40031796953e+000,-8.94633511281e+001
+6.51558610364e+000,-8.81226374700e+001
+6.63293018816e+000,-8.88780538039e+001
+6.75238761044e+000,-8.86138843293e+001
+6.87399643118e+000,-8.77353055711e+001
+6.99779539652e+000,-8.93856189624e+001
+7.12382395042e+000,-8.91930479472e+001
+7.25212224722e+000,-8.97839882105e+001
+7.38273116442e+000,-9.10642631960e+001
+7.51569231572e+000,-9.17670268821e+001
+7.65104806427e+000,-8.97165964263e+001
+7.78884153618e+000,-8.96652144110e+001
+7.92911663423e+000,-8.93396623187e+001
+8.07191805189e+000,-8.95163573415e+001
+8.21729128755e+000,-9.03350282465e+001
+8.36528265901e+000,-9.12809441645e+001
+8.51593931825e+000,-9.06263377243e+001
+8.66930926644e+000,-9.01520143032e+001
+8.82544136923e+000,-8.95748111257e+001
+8.98438537235e+000,-9.11590889599e+001
+9.14619191741e+000,-9.21073348814e+001
+9.31091255809e+000,-9.22870660206e+001
+9.47859977652e+000,-9.25774886470e+001
+9.64930700003e+000,-9.20704025482e+001
+9.82308861817e+000,-9.23010096293e+001
+1.00000000000e+001,-9.10106876719e+001
+1.01800975118e+001,-9.14200972592e+001
+1.03634385350e+001,-9.30283625800e+001
+1.05500814844e+001,-9.41119267000e+001
+1.07400858268e+001,-9.29117389264e+001
+1.09335121002e+001,-9.46124888317e+001
+1.11304219327e+001,-9.47983965371e+001
+1.13308780622e+001,-9.41296427927e+001
+1.15349443568e+001,-9.55097842900e+001
+1.17426858345e+001,-9.43237983706e+001
+1.19541686846e+001,-9.49202272730e+001
+1.21694602882e+001,-9.67257890370e+001
+1.23886292399e+001,-9.64231955948e+001
+1.26117453700e+001,-9.49383525162e+001
+1.28388797661e+001,-9.43990495234e+001
+1.30701047961e+001,-9.54776343530e+001
+1.33054941314e+001,-9.57906547630e+001
+1.35451227700e+001,-9.59572958339e+001
+1.37890670608e+001,-9.82887085700e+001
+1.40374047276e+001,-1.01066190418e+002
+1.42902148939e+001,-9.87527540544e+001
+1.45475781085e+001,-9.66882123874e+001
+1.48095763705e+001,-9.55825117010e+001
+1.50762931560e+001,-9.63270912496e+001
+1.53478134445e+001,-9.84873023163e+001
+1.56242237458e+001,-9.85612590204e+001
+1.59056121278e+001,-9.94219553451e+001
+1.61920682446e+001,-9.88082839756e+001
+1.64836833648e+001,-9.94639949169e+001
+1.67805504007e+001,-9.98135713087e+001
+1.70827639381e+001,-9.88260534994e+001
+1.73904202661e+001,-9.73413989044e+001
+1.77036174080e+001,-1.00262315592e+002
+1.80224551525e+001,-1.03146006466e+002
+1.83470350855e+001,-1.03373059071e+002
+1.86774606222e+001,-1.02787665277e+002
+1.90138370407e+001,-1.01533883545e+002
+1.93562715148e+001,-1.01646752595e+002
+1.97048731486e+001,-1.01291511041e+002
+2.00597530110e+001,-1.01074573649e+002
+2.04210241715e+001,-1.03504614572e+002
+2.07888017356e+001,-1.02586402855e+002
+2.11632028822e+001,-1.01492893846e+002
+2.15443469003e+001,-1.01656571871e+002
+2.19323552273e+001,-1.04131975965e+002
+2.23273514878e+001,-1.03751729114e+002
+2.27294615326e+001,-1.02852245755e+002
+2.31388134792e+001,-1.02057403627e+002
+2.35555377526e+001,-1.03121096114e+002
+2.39797671264e+001,-1.03486146586e+002
+2.44116367658e+001,-1.04308011992e+002
+2.48512842698e+001,-1.03536952429e+002
+2.52988497160e+001,-1.03996100469e+002
+2.57544757045e+001,-9.87407738294e+001
+2.62183074038e+001,-1.04384949534e+002
+2.66904925965e+001,-1.05148401335e+002
+2.71711817270e+001,-1.04300022353e+002
+2.76605279492e+001,-1.05501108919e+002
+2.81586871751e+001,-1.05005972268e+002
+2.86658181246e+001,-1.03693706547e+002
+2.91820823764e+001,-1.05646383692e+002
+2.97076444190e+001,-1.05810704463e+002
+3.02426717031e+001,-9.96551786245e+001
+3.07873346955e+001,-1.04725083564e+002
+3.13418069329e+001,-1.05499825474e+002
+3.19062650773e+001,-1.08046457331e+002
+3.24808889724e+001,-1.06422526999e+002
+3.30658617009e+001,-1.08022274682e+002
+3.36613696427e+001,-1.07897232819e+002
+3.42676025343e+001,-1.05204754947e+002
+3.48847535295e+001,-1.08524914815e+002
+3.55130192606e+001,-1.07012642814e+002
+3.61525999011e+001,-1.08766988963e+002
+3.68036992298e+001,-1.06827112038e+002
+3.74665246955e+001,-1.07999164520e+002
+3.81412874828e+001,-1.08378401831e+002
+3.88282025801e+001,-1.09749167542e+002
+3.95274888473e+001,-1.08453478591e+002
+4.02393690862e+001,-1.09822656592e+002
+4.09640701111e+001,-1.09919745564e+002
+4.17018228212e+001,-1.10893967692e+002
+4.24528622739e+001,-1.11213694863e+002
+4.32174277604e+001,-1.10982701710e+002
+4.39957628810e+001,-1.10442900361e+002
+4.47881156235e+001,-1.11092561771e+002
+4.55947384417e+001,-1.09455874212e+002
+4.64158883361e+001,-1.11864715931e+002
+4.72518269359e+001,-1.10418653668e+002
+4.81028205818e+001,-1.10435292587e+002
+4.89691404115e+001,-1.12429645005e+002
+4.98510624459e+001,-1.10849001028e+002
+5.07488676766e+001,-1.12958877485e+002
+5.16628421561e+001,-1.12190581879e+002
+5.25932770886e+001,-1.12894932212e+002
+5.35404689227e+001,-1.12316682158e+002
+5.45047194461e+001,-1.13903386792e+002
+5.54863358815e+001,-1.12640008510e+002
+5.64856309846e+001,-1.13749784965e+002
+5.75029231439e+001,-1.13498963468e+002
+5.85385364818e+001,-1.11877446208e+002
+5.95928009583e+001,-1.09482986537e+002
+6.06660524757e+001,-1.13184603733e+002
+6.17586329859e+001,-1.13455215197e+002
+6.28708905992e+001,-1.12619962482e+002
+6.40031796953e+001,-1.13230433833e+002
+6.51558610364e+001,-1.17316547739e+002
+6.63293018816e+001,-1.14595543764e+002
+6.75238761044e+001,-1.14344348255e+002
+6.87399643118e+001,-1.15699024686e+002
+6.99779539652e+001,-1.14266500526e+002
+7.12382395042e+001,-1.13872316083e+002
+7.25212224722e+001,-1.14637056357e+002
+7.38273116442e+001,-1.14528483076e+002
+7.51569231572e+001,-1.15372274568e+002
+7.65104806427e+001,-1.15886744924e+002
+7.78884153618e+001,-1.15039601551e+002
+7.92911663423e+001,-1.16448942275e+002
+8.07191805189e+001,-1.17892256060e+002
+8.21729128755e+001,-1.15272515342e+002
+8.36528265901e+001,-1.15371517966e+002
+8.51593931825e+001,-1.17728505385e+002
+8.66930926644e+001,-1.18237474304e+002
+8.82544136923e+001,-1.18763296582e+002
+8.98438537235e+001,-1.15825815422e+002
+9.14619191741e+001,-1.16312234109e+002
+9.31091255809e+001,-1.15677717920e+002
+9.47859977652e+001,-1.14833326103e+002
+9.64930700003e+001,-1.19327265657e+002
+9.82308861817e+001,-1.18190354845e+002
+1.00000000000e+002,-1.14475473422e+002
+1.01800975118e+002,-1.17863156102e+002
+1.03634385350e+002,-1.09056820743e+002
+1.05500814844e+002,-1.20489717779e+002
+1.07400858268e+002,-1.18374507777e+002
+1.09335121002e+002,-1.17295602801e+002
+1.11304219327e+002,-1.19087512833e+002
+1.13308780622e+002,-1.20437097865e+002
+1.15349443568e+002,-1.27327886148e+002
+1.17426858345e+002,-1.19196151929e+002
+1.19541686846e+002,-1.17534546392e+002
+1.21694602882e+002,-1.16039566267e+002
+1.23886292399e+002,-1.18182443398e+002
+1.26117453700e+002,-1.19151728842e+002
+1.28388797661e+002,-1.19044076829e+002
+1.30701047961e+002,-1.18467319736e+002
+1.33054941314e+002,-1.17800870222e+002
+1.35451227700e+002,-1.20240438499e+002
+1.37890670608e+002,-1.26261747293e+002
+1.40374047276e+002,-1.22021642322e+002
+1.42902148939e+002,-1.20456536674e+002
+1.45475781085e+002,-1.23713184995e+002
+1.48095763705e+002,-1.21817685770e+002
+1.50762931560e+002,-1.19086940570e+002
+1.53478134445e+002,-1.21234241454e+002
+1.56242237458e+002,-1.21673258696e+002
+1.59056121278e+002,-1.19383794647e+002
+1.61920682446e+002,-1.22438114687e+002
+1.64836833648e+002,-1.22941035899e+002
+1.67805504007e+002,-1.21307950428e+002
+1.70827639381e+002,-1.23466595906e+002
+1.73904202661e+002,-1.20336918553e+002
+1.77036174080e+002,-1.18938362773e+002
+1.80224551525e+002,-1.19039520226e+002
+1.83470350855e+002,-1.23996160899e+002
+1.86774606222e+002,-1.20918084877e+002
+1.90138370407e+002,-1.22562978828e+002
+1.93562715148e+002,-1.23534162910e+002
+1.97048731486e+002,-1.28438723237e+002
+2.00597530110e+002,-1.24706768504e+002
+2.04210241715e+002,-1.17379193530e+002
+2.07888017356e+002,-1.16102474357e+002
+2.11632028822e+002,-1.21277824604e+002
+2.15443469003e+002,-1.25712849222e+002
+2.19323552273e+002,-1.25787246476e+002
+2.23273514878e+002,-1.25645276933e+002
+2.27294615326e+002,-1.25961905608e+002
+2.31388134792e+002,-1.24953815946e+002
+2.35555377526e+002,-1.22809190775e+002
+2.39797671264e+002,-1.22382600578e+002
+2.44116367658e+002,-1.23669480443e+002
+2.48512842698e+002,-1.23925589648e+002
+2.52988497160e+002,-1.23621673010e+002
+2.57544757045e+002,-1.26747634280e+002
+2.62183074038e+002,-1.25645951799e+002
+2.66904925965e+002,-1.23998177197e+002
+2.71711817270e+002,-1.25613594858e+002
+2.76605279492e+002,-1.27113895535e+002
+2.81586871751e+002,-1.24216709407e+002
+2.86658181246e+002,-1.25217527500e+002
+2.91820823764e+002,-1.29682296314e+002
+2.97076444190e+002,-1.26968663461e+002
+3.02426717031e+002,-1.27260610259e+002
+3.07873346955e+002,-1.20849571542e+002
+3.13418069329e+002,-1.18762173021e+002
+3.19062650773e+002,-1.25560581502e+002
+3.24808889724e+002,-1.25390712542e+002
+3.30658617009e+002,-1.26298232686e+002
+3.36613696427e+002,-1.26020552069e+002
+3.42676025343e+002,-1.27616412054e+002
+3.48847535295e+002,-1.30502898495e+002
+3.55130192606e+002,-1.27504718098e+002
+3.61525999011e+002,-1.28748777849e+002
+3.68036992298e+002,-1.30141394788e+002
+3.74665246955e+002,-1.28101878578e+002
+3.81412874828e+002,-1.25348258649e+002
+3.88282025801e+002,-1.25274030222e+002
+3.95274888473e+002,-1.27218995048e+002
+4.02393690862e+002,-1.27988318070e+002
+4.09640701111e+002,-1.29281035915e+002
+4.17018228212e+002,-1.20423875557e+002
+4.24528622739e+002,-1.27165289404e+002
+4.32174277604e+002,-1.28755525145e+002
+4.39957628810e+002,-1.28630393688e+002
+4.47881156235e+002,-1.29400214797e+002
+4.55947384417e+002,-1.30043431873e+002
+4.64158883361e+002,-1.29218305376e+002
+4.72518269359e+002,-1.30120750783e+002
+4.81028205818e+002,-1.29918817378e+002
+4.89691404115e+002,-1.27100242381e+002
+4.98510624459e+002,-1.31462161884e+002
+5.07488676766e+002,-1.31256222888e+002
+5.16628421561e+002,-1.24049055951e+002
+5.25932770886e+002,-1.26089092750e+002
+5.35404689227e+002,-1.29955387110e+002
+5.45047194461e+002,-1.27817542223e+002
+5.54863358815e+002,-1.31839291622e+002
+5.64856309846e+002,-1.30199583845e+002
+5.75029231439e+002,-1.31807148897e+002
+5.85385364818e+002,-1.30758326281e+002
+5.95928009583e+002,-1.33133513469e+002
+6.06660524757e+002,-1.33569554073e+002
+6.17586329859e+002,-1.30321991432e+002
+6.28708905992e+002,-1.32422024921e+002
+6.40031796953e+002,-1.32769096317e+002
+6.51558610364e+002,-1.31151645384e+002
+6.63293018816e+002,-1.31490076209e+002
+6.75238761044e+002,-1.36246880742e+002
+6.87399643118e+002,-1.32287222888e+002
+6.99779539652e+002,-1.33438149427e+002
+7.12382395042e+002,-1.36241466419e+002
+7.25212224722e+002,-1.32799122501e+002
+7.38273116442e+002,-1.33865218654e+002
+7.51569231572e+002,-1.34128885948e+002
+7.65104806427e+002,-1.35385465657e+002
+7.78884153618e+002,-1.32390698873e+002
+7.92911663423e+002,-1.33718775328e+002
+8.07191805189e+002,-1.33431000521e+002
+8.21729128755e+002,-1.35855027250e+002
+8.36528265901e+002,-1.34429002912e+002
+8.51593931825e+002,-1.37134086471e+002
+8.66930926644e+002,-1.33056287700e+002
+8.82544136923e+002,-1.35026880684e+002
+8.98438537235e+002,-1.35964406156e+002
+9.14619191741e+002,-1.37863200773e+002
+9.31091255809e+002,-1.45720939805e+002
+9.47859977652e+002,-1.35464634546e+002
+9.64930700003e+002,-1.35370958880e+002
+9.82308861817e+002,-1.34361876018e+002
+1.00000000000e+003,-1.34495636548e+002
+1.01800975118e+003,-1.37715194719e+002
+1.03634385350e+003,-1.34659234887e+002
+1.05500814844e+003,-1.36769551907e+002
+1.07400858268e+003,-1.37809847598e+002
+1.09335121002e+003,-1.38362527647e+002
+1.11304219327e+003,-1.34752892144e+002
