Offset Frequency (Hz),Phase Noise (dBc/Hz)
+1.00000000000e+000,-5.00084606089e+001
+1.01800975118e+000,-5.04734738723e+001
+1.03634385350e+000,-5.09384833940e+001
+1.05500814844e+000,-5.14034890382e+001
+1.07400858268e+000,-5.18684906644e+001
+1.09335121002e+000,-5.23334881265e+001
+1.11304219327e+000,-5.27984812735e+001
+1.13308780622e+000,-5.32634699488e+001
+1.15349443568e+000,-5.37284539901e+001
+1.17426858345e+000,-5.54143262543e+001
+1.19541686846e+000,-5.58793005171e+001
+1.21694602882e+000,-5.63442696231e+001
+1.23886292399e+000,-5.68092333850e+001
+1.26117453700e+000,-5.72741916091e+001
+1.28388797661e+000,-5.93037379550e+001
+1.30701047961e+000,-5.97686844934e+001
+1.33054941314e+000,-6.02336248693e+001
+1.35451227700e+000,-6.06985588591e+001
+1.37890670608e+000,-6.11634862312e+001
+1.40374047276e+000,-6.07465031928e+001
+1.42902148939e+000,-6.12114166010e+001
+1.45475781085e+000,-6.16763226453e+001
+1.48095763705e+000,-6.21412210588e+001
+1.50762931560e+000,-6.29479477555e+001
+1.53478134445e+000,-6.34128300674e+001
+1.56242237458e+000,-6.38777038882e+001
+1.59056121278e+000,-6.43425689103e+001
+1.61920682446e+000,-6.42364980642e+001
+1.64836833648e+000,-6.47013445209e+001
+1.67805504007e+000,-6.51661811875e+001
+1.70827639381e+000,-6.56310077094e+001
+1.73904202661e+000,-6.55380644576e+001
+1.77036174080e+000,-6.60028695746e+001
+1.80224551525e+000,-6.64676634044e+001
+1.83470350855e+000,-6.69324455383e+001
+1.86774606222e+000,-6.57215424773e+001
+1.90138370407e+000,-6.61862999343e+001
+1.93562715148e+000,-6.66510443791e+001
+1.97048731486e+000,-6.42516590161e+001
+2.00597530110e+000,-6.47163760072e+001
+2.04210241715e+000,-6.51810785222e+001
+2.07888017356e+000,-6.83087315307e+001
+2.11632028822e+000,-6.87734035043e+001
+2.15443469003e+000,-6.92380593743e+001
+2.19323552273e+000,-7.21495053831e+001
+2.23273514878e+000,-7.26141272788e+001
+2.27294615326e+000,-7.30787312613e+001
+2.31388134792e+000,-7.27461360748e+001
+2.35555377526e+000,-7.32107022668e+001
+2.39797671264e+000,-7.36752485340e+001
+2.44116367658e+000,-7.37792583893e+001
+2.48512842698e+000,-7.42437626239e+001
+2.52988497160e+000,-7.47082446983e+001
+2.57544757045e+000,-7.48416811485e+001
+2.62183074038e+000,-7.53061164758e+001
+2.66904925965e+000,-7.45787959343e+001
+2.71711817270e+000,-7.50431810839e+001
+2.76605279492e+000,-7.55075397809e+001
+2.81586871751e+000,-7.49731722400e+001
+2.86658181246e+000,-7.54374751399e+001
+2.91820823764e+000,-7.32343372634e+001
+2.97076444190e+000,-7.36985802781e+001
+3.02426717031e+000,-7.27116468588e+001
+3.07873346955e+000,-7.31758256039e+001
+3.13418069329e+000,-7.62351254828e+001
+3.19062650773e+000,-7.66992352565e+001
+3.24808889724e+000,-8.10505869900e+001
+3.30658617009e+000,-8.15146227511e+001
+3.36613696427e+000,-7.92560594958e+001
+3.42676025343e+000,-7.97200158394e+001
+3.48847535295e+000,-7.88059671634e+001
+3.55130192606e+000,-7.92698382957e+001
+3.61525999011e+000,-8.25605913176e+001
+3.68036992298e+000,-8.30243710288e+001
+3.74665246955e+000,-8.24421761259e+001
+3.81412874828e+000,-8.03970716027e+001
+3.88282025801e+000,-8.08607015570e+001
+3.95274888473e+000,-7.81607760104e+001
+4.02393690862e+000,-7.86242970045e+001
+4.09640701111e+000,-7.84688039307e+001
+4.17018228212e+000,-8.13241546284e+001
+4.24528622739e+000,-8.17874971844e+001
+4.32174277604e+000,-8.39403098759e+001
+4.39957628810e+000,-8.36157925861e+001
+4.47881156235e+000,-8.40789369805e+001
+4.55947384417e+000,-8.40337916261e+001
+4.64158883361e+000,-8.30565684319e+001
+4.72518269359e+000,-8.35194928163e+001
+4.81028205818e+000,-8.30638360216e+001
+4.89691404115e+000,-8.09725986720e+001
+4.98510624459e+000,-7.98331955302e+001
+5.07488676766e+000,-8.02957885025e+001
+5.16628421561e+000,-8.34906753358e+001
+5.25932770886e+000,-8.47493984095e+001
+5.35404689227e+000,-8.45510931915e+001
+5.45047194461e+000,-8.54316755271e+001
+5.54863358815e+000,-8.54759373608e+001
+5.64856309846e+000,-8.59379387327e+001
+5.75029231439e+000,-8.68714931584e+001
+5.85385364818e+000,-8.86621608625e+001
+5.95928009583e+000,-8.61333850079e+001
+6.06660524757e+000,-8.54775865573e+001
+6.17586329859e+000,-8.78564268742e+001
+6.28708905992e+000,-8.86809166626e+001
+6.40031796953e+000,-8.73245937226e+001
+6.51558610364e+000,-8.78449488967e+001
