Offset Frequency (Hz),Phase Noise (dBc/Hz)
+1.00000000000e+000,-5.91374667832e+001
+1.01800975118e+000,-5.96024800465e+001
+1.03634385350e+000,-6.00674895682e+001
+1.05500814844e+000,-6.05324952125e+001
+1.07400858268e+000,-6.09974968386e+001
+1.09335121002e+000,-6.14624943007e+001
+1.11304219327e+000,-6.19274874478e+001
+1.13308780622e+000,-6.23924761231e+001
+1.15349443568e+000,-6.28574601644e+001
+1.17426858345e+000,-6.28565325980e+001
+1.19541686846e+000,-6.33215068608e+001
+1.21694602882e+000,-6.37864759668e+001
+1.23886292399e+000,-6.42514397287e+001
+1.26117453700e+000,-6.47163979528e+001
+1.28388797661e+000,-6.51871394549e+001
+1.30701047961e+000,-6.56520859934e+001
+1.33054941314e+000,-6.61170263692e+001
+1.35451227700e+000,-6.65819603590e+001
+1.37890670608e+000,-6.70468877311e+001
+1.40374047276e+000,-6.78482747701e+001
+1.42902148939e+000,-6.83131881783e+001
+1.45475781085e+000,-6.87780942226e+001
+1.48095763705e+000,-6.92429926361e+001
+1.50762931560e+000,-6.83323693026e+001
+1.53478134445e+000,-6.87972516144e+001
+1.56242237458e+000,-6.92621254353e+001
+1.59056121278e+000,-6.97269904574e+001
+1.61920682446e+000,-7.04109341884e+001
+1.64836833648e+000,-7.08757806451e+001
+1.67805504007e+000,-7.13406173117e+001
+1.70827639381e+000,-7.18054438336e+001
+1.73904202661e+000,-7.21835382964e+001
+1.77036174080e+000,-7.26483434134e+001
+1.80224551525e+000,-7.31131372432e+001
+1.83470350855e+000,-7.35779193771e+001
+1.86774606222e+000,-7.35701156515e+001
+1.90138370407e+000,-7.40348731085e+001
+1.93562715148e+000,-7.44996175533e+001
+1.97048731486e+000,-7.45639969358e+001
+2.00597530110e+000,-7.50287139269e+001
+2.04210241715e+000,-7.54934164419e+001
+2.07888017356e+000,-7.57211367783e+001
+2.11632028822e+000,-7.61858087520e+001
+2.15443469003e+000,-7.66504646219e+001
+2.19323552273e+000,-7.70268497125e+001
+2.23273514878e+000,-7.74914716083e+001
+2.27294615326e+000,-7.79560755908e+001
+2.31388134792e+000,-7.73944955785e+001
+2.35555377526e+000,-7.78590617705e+001
+2.39797671264e+000,-7.83236080377e+001
+2.44116367658e+000,-7.81775861274e+001
+2.48512842698e+000,-7.86420903620e+001
+2.52988497160e+000,-7.91065724364e+001
+2.57544757045e+000,-7.96905185846e+001
+2.62183074038e+000,-8.01549539119e+001
+2.66904925965e+000,-7.98259476950e+001
+2.71711817270e+000,-8.02903328446e+001
+2.76605279492e+000,-8.07546915416e+001
+2.81586871751e+000,-8.12244282440e+001
+2.86658181246e+000,-8.16887311440e+001
+2.91820823764e+000,-8.17159151578e+001
+2.97076444190e+000,-8.21801581725e+001
+3.02426717031e+000,-8.14340929120e+001
+3.07873346955e+000,-8.18982716570e+001
+3.13418069329e+000,-8.19604061990e+001
+3.19062650773e+000,-8.24245159727e+001
+3.24808889724e+000,-8.25834628635e+001
+3.30658617009e+000,-8.30474986246e+001
+3.36613696427e+000,-8.31769194948e+001
+3.42676025343e+000,-8.36408758384e+001
+3.48847535295e+000,-8.37195110945e+001
+3.55130192606e+000,-8.41833822269e+001
+3.61525999011e+000,-8.42384147765e+001
+3.68036992298e+000,-8.47021944877e+001
+3.74665246955e+000,-8.45843891002e+001
+3.81412874828e+000,-8.45628640591e+001
+3.88282025801e+000,-8.50264940134e+001
+3.95274888473e+000,-8.52429218235e+001
+4.02393690862e+000,-8.57064428176e+001
+4.09640701111e+000,-8.56912853368e+001
+4.17018228212e+000,-8.58023626403e+001
+4.24528622739e+000,-8.62657051963e+001
+4.32174277604e+000,-8.63247004720e+001
+4.39957628810e+000,-8.63335092431e+001
+4.47881156235e+000,-8.67966536376e+001
+4.55947384417e+000,-8.69055099316e+001
+4.64158883361e+000,-8.70020996682e+001
+4.72518269359e+000,-8.74650240527e+001
+4.81028205818e+000,-8.74490164806e+001
+4.89691404115e+000,-8.77070771602e+001
+4.98510624459e+000,-8.76775732364e+001
+5.07488676766e+000,-8.81401662087e+001
+5.16628421561e+000,-8.82115998197e+001
+5.25932770886e+000,-8.82439255364e+001
+5.35404689227e+000,-8.85353025555e+001
+5.45047194461e+000,-8.89258609629e+001
+5.54863358815e+000,-8.92342315398e+001
+5.64856309846e+000,-8.96962329118e+001
+5.75029231439e+000,-8.99235189681e+001
+5.85385364818e+000,-9.02168730376e+001
+5.95928009583e+000,-9.02346776415e+001
+6.06660524757e+000,-9.02196157403e+001
+6.17586329859e+000,-9.03638215457e+001
+6.28708905992e+000,-9.05622402653e+001
+6.40031796953e+000,-9.07259847575e+001
+6.51558610364e+000,-9.11010290257e+001
+6.63293018816e+000,-9.14715585729e+001
+6.75238761044e+000,-9.15585272231e+001
+6.87399643118e+000,-9.15327278286e+001
+6.99779539652e+000,-9.17875314397e+001
+7.12382395042e+000,-9.21054143323e+001
+7.25212224722e+000,-9.25620725701e+001
+7.38273116442e+000,-9.27444051632e+001
+7.51569231572e+000,-9.28693863257e+001
+7.65104806427e+000,-9.30781283282e+001
+7.78884153618e+000,-9.31467076721e+001
+7.92911663423e+000,-9.33765645828e+001
+8.07191805189e+000,-9.36280435788e+001
+8.21729128755e+000,-9.38208877195e+001
+8.36528265901e+000,-9.39614249212e+001
+8.51593931825e+000,-9.40334973266e+001
+8.66930926644e+000,-9.42243943107e+001
+8.82544136923e+000,-9.46485435963e+001
+8.98438537235e+000,-9.48769104765e+001
+9.14619191741e+000,-9.50470166296e+001
+9.31091255809e+000,-9.51162916966e+001
+9.47859977652e+000,-9.55539560341e+001
+9.64930700003e+000,-9.55334534837e+001
+9.82308861817e+000,-9.57486259153e+001
+1.00000000000e+001,-9.61011928667e+001
+1.01800975118e+001,-9.62284371755e+001
+1.03634385350e+001,-9.63761180421e+001
+1.05500814844e+001,-9.66205482919e+001
+1.07400858268e+001,-9.68179456432e+001
+1.09335121002e+001,-9.71579907728e+001
+1.11304219327e+001,-9.74527832560e+001
+1.13308780622e+001,-9.75357311249e+001
+1.15349443568e+001,-9.78462798520e+001
+1.17426858345e+001,-9.80637646681e+001
+1.19541686846e+001,-9.81242582114e+001
+1.21694602882e+001,-9.84159094248e+001
+1.23886292399e+001,-9.85289649639e+001
+1.26117453700e+001,-9.86219725596e+001
+1.28388797661e+001,-9.90969207891e+001
+1.30701047961e+001,-9.90617166721e+001
+1.33054941314e+001,-9.92801223151e+001
+1.35451227700e+001,-9.93538422154e+001
+1.37890670608e+001,-9.97434523658e+001
+1.40374047276e+001,-9.99277631324e+001
+1.42902148939e+001,-9.99557971298e+001
+1.45475781085e+001,-1.00313047730e+002
