Offset Frequency (Hz),Phase Noise (dBc/Hz)
+1.00000000000e+000,-5.94847073187e+001
+1.01800975118e+000,-5.99497205820e+001
+1.03634385350e+000,-6.04147301037e+001
+1.05500814844e+000,-6.08797357480e+001
+1.07400858268e+000,-6.13447373741e+001
+1.09335121002e+000,-6.18097348363e+001
+1.11304219327e+000,-6.22747279833e+001
+1.13308780622e+000,-6.27397166586e+001
+1.15349443568e+000,-6.32047006999e+001
+1.17426858345e+000,-6.26715837145e+001
+1.19541686846e+000,-6.31365579774e+001
+1.21694602882e+000,-6.36015270833e+001
+1.23886292399e+000,-6.40664908453e+001
+1.26117453700e+000,-6.45314490694e+001
+1.28388797661e+000,-6.53365995235e+001
+1.30701047961e+000,-6.58015460620e+001
+1.33054941314e+000,-6.62664864378e+001
+1.35451227700e+000,-6.67314204276e+001
+1.37890670608e+000,-6.71963477997e+001
+1.40374047276e+000,-6.75004602236e+001
+1.42902148939e+000,-6.79653736318e+001
+1.45475781085e+000,-6.84302796761e+001
+1.48095763705e+000,-6.88951780896e+001
+1.50762931560e+000,-7.07572870165e+001
+1.53478134445e+000,-7.12221693284e+001
+1.56242237458e+000,-7.16870431493e+001
+1.59056121278e+000,-7.21519081714e+001
+1.61920682446e+000,-7.13218672220e+001
+1.64836833648e+000,-7.17867136787e+001
+1.67805504007e+000,-7.22515503453e+001
+1.70827639381e+000,-7.27163768672e+001
+1.73904202661e+000,-7.28397213311e+001
+1.77036174080e+000,-7.33045264481e+001
+1.80224551525e+000,-7.37693202778e+001
+1.83470350855e+000,-7.42341024118e+001
+1.86774606222e+000,-7.48452759337e+001
+1.90138370407e+000,-7.53100333907e+001
+1.93562715148e+000,-7.57747778355e+001
+1.97048731486e+000,-7.67027552990e+001
+2.00597530110e+000,-7.71674722901e+001
+2.04210241715e+000,-7.76321748051e+001
+2.07888017356e+000,-7.72342457165e+001
+2.11632028822e+000,-7.76989176902e+001
+2.15443469003e+000,-7.81635735602e+001
+2.19323552273e+000,-7.82444921304e+001
+2.23273514878e+000,-7.87091140261e+001
+2.27294615326e+000,-7.91737180087e+001
+2.31388134792e+000,-7.93448063624e+001
+2.35555377526e+000,-7.98093725543e+001
+2.39797671264e+000,-8.02739188216e+001
+2.44116367658e+000,-8.10588710095e+001
+2.48512842698e+000,-8.15233752442e+001
+2.52988497160e+000,-8.19878573185e+001
+2.57544757045e+000,-8.21673212108e+001
+2.62183074038e+000,-8.26317565381e+001
+2.66904925965e+000,-8.29207438381e+001
+2.71711817270e+000,-8.33851289878e+001
+2.76605279492e+000,-8.38494876847e+001
+2.81586871751e+000,-8.38896791368e+001
+2.86658181246e+000,-8.43539820367e+001
+2.91820823764e+000,-8.33741093074e+001
+2.97076444190e+000,-8.38383523221e+001
+3.02426717031e+000,-8.37234095999e+001
+3.07873346955e+000,-8.41875883450e+001
+3.13418069329e+000,-8.43098074855e+001
+3.19062650773e+000,-8.47739172592e+001
+3.24808889724e+000,-8.53748391305e+001
+3.30658617009e+000,-8.58388748916e+001
+3.36613696427e+000,-8.61861434218e+001
+3.42676025343e+000,-8.66500997655e+001
+3.48847535295e+000,-8.64636010498e+001
+3.55130192606e+000,-8.69274721822e+001
+3.61525999011e+000,-8.64243086605e+001
+3.68036992298e+000,-8.68880883717e+001
+3.74665246955e+000,-8.68981135615e+001
+3.81412874828e+000,-8.71899179052e+001
+3.88282025801e+000,-8.76535478596e+001
+3.95274888473e+000,-8.80420095632e+001
+4.02393690862e+000,-8.85055305573e+001
+4.09640701111e+000,-8.84935547540e+001
+4.17018228212e+000,-8.87042425534e+001
+4.24528622739e+000,-8.91675851095e+001
+4.32174277604e+000,-8.93139063911e+001
+4.39957628810e+000,-8.91624334930e+001
+4.47881156235e+000,-8.96255778875e+001
+4.55947384417e+000,-8.93723056865e+001
+4.64158883361e+000,-8.95850802208e+001
+4.72518269359e+000,-9.00480046053e+001
+4.81028205818e+000,-9.04885537190e+001
+4.89691404115e+000,-9.08130285737e+001
+4.98510624459e+000,-9.08687211631e+001
+5.07488676766e+000,-9.13313141354e+001
+5.16628421561e+000,-9.14898086680e+001
+5.25932770886e+000,-9.17504531803e+001
+5.35404689227e+000,-9.17446701238e+001
+5.45047194461e+000,-9.17686054631e+001
+5.54863358815e+000,-9.19278176161e+001
+5.64856309846e+000,-9.23898189880e+001
+5.75029231439e+000,-9.26818182892e+001
+5.85385364818e+000,-9.27366372109e+001
+5.95928009583e+000,-9.28911530388e+001
+6.06660524757e+000,-9.33236177654e+001
+6.17586329859e+000,-9.33843255472e+001
+6.28708905992e+000,-9.34262871369e+001
+6.40031796953e+000,-9.37354388487e+001
+6.51558610364e+000,-9.39801972061e+001
+6.63293018816e+000,-9.42289394409e+001
+6.75238761044e+000,-9.44263869557e+001
+6.87399643118e+000,-9.45472126874e+001
+6.99779539652e+000,-9.50374264889e+001
+7.12382395042e+000,-9.53541008523e+001
+7.25212224722e+000,-9.54465514098e+001
+7.38273116442e+000,-9.57984595741e+001
+7.51569231572e+000,-9.58624651416e+001
+7.65104806427e+000,-9.58792867539e+001
+7.78884153618e+000,-9.60301368997e+001
+7.92911663423e+000,-9.63080886792e+001
+8.07191805189e+000,-9.65514765194e+001
+8.21729128755e+000,-9.69375267913e+001
+8.36528265901e+000,-9.69113440364e+001
+8.51593931825e+000,-9.71041830300e+001
+8.66930926644e+000,-9.72788025493e+001
+8.82544136923e+000,-9.73451528266e+001
+8.98438537235e+000,-9.77288766474e+001
+9.14619191741e+000,-9.81475299961e+001
+9.31091255809e+000,-9.83651135123e+001
+9.47859977652e+000,-9.84370297982e+001
+9.64930700003e+000,-9.85569534468e+001
+9.82308861817e+000,-9.89394561149e+001
+1.00000000000e+001,-9.88641740601e+001
+1.01800975118e+001,-9.91021394622e+001
+1.03634385350e+001,-9.94048782031e+001
+1.05500814844e+001,-9.95920321476e+001
+1.07400858268e+001,-1.00104796386e+002
+1.09335121002e+001,-1.00335179552e+002
+1.11304219327e+001,-1.00448957360e+002
+1.13308780622e+001,-1.00467592430e+002
+1.15349443568e+001,-1.00652197749e+002
+1.17426858345e+001,-1.00815745462e+002
+1.19541686846e+001,-1.01113313183e+002
+1.21694602882e+001,-1.01294564277e+002
+1.23886292399e+001,-1.01597323385e+002
+1.26117453700e+001,-1.01839780376e+002
+1.28388797661e+001,-1.02102836780e+002
+1.30701047961e+001,-1.02093730480e+002
+1.33054941314e+001,-1.02349338937e+002
+1.35451227700e+001,-1.02362722359e+002
+1.37890670608e+001,-1.02913117394e+002
+1.40374047276e+001,-1.03163423465e+002
+1.42902148939e+001,-1.03433485480e+002
+1.45475781085e+001,-1.03501347812e+002
+1.48095763705e+001,-1.03543043013e+002
+1.50762931560e+001,-1.03932678871e+002
+1.53478134445e+001,-1.04062158773e+002
+1.56242237458e+001,-1.04057311723e+002
+1.59056121278e+001,-1.04226395458e+002
+1.61920682446e+001,-1.04397264552e+002
+1.64836833648e+001,-1.04776473180e+002
+1.67805504007e+001,-1.05115599944e+002
+1.70827639381e+001,-1.05063508585e+002
+1.73904202661e+001,-1.05310470252e+002
+1.77036174080e+001,-1.05461664239e+002
+1.80224551525e+001,-1.05705430227e+002
+1.83470350855e+001,-1.06061786871e+002
+1.86774606222e+001,-1.06527849164e+002
+1.90138370407e+001,-1.06333566003e+002
+1.93562715148e+001,-1.06630603450e+002
+1.97048731486e+001,-1.07052941032e+002
+2.00597530110e+001,-1.07034511741e+002
+2.04210241715e+001,-1.07324409086e+002
+2.07888017356e+001,-1.07233061900e+002
+2.11632028822e+001,-1.07173973382e+002
+2.15443469003e+001,-1.07589147451e+002
+2.19323552273e+001,-1.08001890459e+002
+2.23273514878e+001,-1.08093994940e+002
+2.27294615326e+001,-1.08366915889e+002
+2.31388134792e+001,-1.08564595440e+002
