Ref Frequency,Temp,
21699929.03,0,
Frequency,Temp,ppm
21699929.37,11.75,0.016
21699929.31,12.5,0.013
21699929.33,13,0.014
21699929.46,13.5,0.02
21699929.28,14,0.012
21699929.39,14.5,0.017
21699929.29,15,0.012
21699929.27,15.25,0.011
21699929.23,15.75,0.009
21699929.17,16.5,0.007
21699929.19,17,0.008
21699929.04,17.75,0.001
21699929.08,18.25,0.003
21699928.95,18.75,-0.003
21699928.87,19.25,-0.007
21699928.91,19.75,-0.006
21699928.78,20.5,-0.011
21699928.77,21,-0.012
21699928.61,21.75,-0.019
21699928.45,22.25,-0.027
21699928.45,22.75,-0.027
21699928.38,23.5,-0.03
21699928.27,24,-0.035
21699928.17,24.75,-0.04
21699928.11,25.25,-0.043
21699928,26,-0.047
21699927.9,26.5,-0.052
21699927.79,27.25,-0.057
21699927.72,28,-0.06
21699927.57,28.75,-0.067
21699927.54,29.5,-0.069
21699927.61,30,-0.065
21699927.52,30.75,-0.069
21699927.33,31.5,-0.078
21699927.29,32.25,-0.08
21699927.43,33,-0.074
21699927.29,33.75,-0.08
21699927.23,34.5,-0.083
21699927.23,35,-0.083
21699927.13,35.75,-0.088
21699927,36.5,-0.093
21699926.88,37.25,-0.099
21699926.83,38,-0.102
21699926.67,38.75,-0.109
21699926.66,39.25,-0.109
21699926.57,40,-0.113
21699926.45,40.75,-0.119
21699926.35,41.5,-0.123
21699926.29,42.25,-0.126
21699926.11,43,-0.135
21699926.07,43.75,-0.136
21699926,44.5,-0.139
21699925.86,45,-0.146
21699925.74,45.75,-0.152
21699925.67,46.5,-0.155
21699925.42,47.25,-0.166
21699925.24,48,-0.174
21699925.06,48.75,-0.183
21699924.84,49.5,-0.193
21699924.86,50.25,-0.192
21699924.72,51,-0.198
21699924.53,51.75,-0.207
21699925.16,52.25,-0.178
21699924.55,53,-0.206
21699924.34,53.75,-0.216
21699924.06,54.25,-0.229
21699923.99,55,-0.232
21699923.91,55.5,-0.236
21699923.8,56,-0.241
21699923.63,56.5,-0.249
21699923.66,57.25,-0.247
21699923.59,57.5,-0.251
21699923.44,58,-0.258
21699923.35,58.75,-0.262
21699923.45,59,-0.257
21699923.32,59.5,-0.263
21699923.25,60,-0.266
21699923.12,60.5,-0.272
21699923.18,61,-0.27
21699923,61.5,-0.278
21699923.03,62,-0.276
21699923,62.5,-0.278
21699922.9,63,-0.282
21699922.91,63.5,-0.282
21699922.92,64,-0.282
21699922.95,64.5,-0.28
21699922.98,65,-0.279
21699923.09,65.5,-0.274
21699923.18,66,-0.269
21699923.22,66.75,-0.268
21699923.22,67,-0.268
21699923.34,67.5,-0.262
21699923.36,67.75,-0.261
21699923.54,68.25,-0.253
21699923.59,68.75,-0.25
21699923.71,69,-0.245
21699923.84,69.5,-0.239
21699923.87,69.75,-0.238
21699923.93,70.25,-0.235
21699924.02,70.5,-0.231
21699924.03,71,-0.23
21699924.02,71.25,-0.231
21699924.01,71.5,-0.231
21699924,72,-0.232
21699924.09,72.25,-0.228
21699924.09,72.5,-0.228
21699924.08,72.75,-0.228
21699924.13,73,-0.226
21699924.15,73.25,-0.225
21699924.21,73.75,-0.222
21699924.21,73.75,-0.222
21699924.2,74,-0.223
21699924,74,-0.232
21699924.11,74.5,-0.227
21699924.27,74.75,-0.22
21699924.2,75,-0.222
21699924.16,75.25,-0.224
21699924.19,75.5,-0.223
21699924.31,75.5,-0.218
21699924.3,75.75,-0.218
21699924.35,76,-0.216
21699924.39,76,-0.214
21699924.43,76.25,-0.212
21699924.58,76.5,-0.205
21699924.53,76.5,-0.207
21699924.48,76.75,-0.21
21699924.63,77,-0.203
21699924.66,77,-0.202
21699924.55,77,-0.206
21699924.62,77.25,-0.203
21699924.5,77.5,-0.209
21699924.58,77.5,-0.205
21699924.56,77.5,-0.206
21699924.66,77.5,-0.201
21699924.59,77.75,-0.205
21699924.6,78,-0.204
21699924.49,78,-0.209
21699924.49,78,-0.209
21699924.42,78,-0.212
21699924.36,78.25,-0.215
21699924.36,78.5,-0.215
21699924.33,78.25,-0.216
21699924.17,78.5,-0.224
21699924.27,78.75,-0.219
21699924.16,78.5,-0.225
21699924.16,78.75,-0.225
21699924.17,78.75,-0.224
21699924.08,78.75,-0.228
21699924.1,79,-0.227
21699923.97,79.25,-0.233
21699924.04,79,-0.23
21699924.04,79.25,-0.23
21699923.87,79.25,-0.238
21699923.82,79.5,-0.24
21699923.8,79.25,-0.241
21699923.74,79.5,-0.244
21699923.78,79.25,-0.242
21699923.67,79.5,-0.247
21699923.72,79.75,-0.245
21699923.67,79.75,-0.247
21699923.76,79.75,-0.243
21699923.69,79.75,-0.246
21699923.55,79.75,-0.253
21699923.64,79.75,-0.248
21699923.61,79.75,-0.25
21699923.61,80,-0.249
21699923.36,80,-0.261
21699923.45,80,-0.257
21699923.48,80,-0.256
21699923.38,80,-0.26
21699923.39,80,-0.26
21699923.29,80.25,-0.265
21699923.25,80.25,-0.266
21699923.16,80.25,-0.271
21699923.19,80.25,-0.269
21699923.16,80.25,-0.27
21699923.07,80.25,-0.274
21699923.11,80.25,-0.273
21699923.02,80.25,-0.277
21699923.16,80.5,-0.27
21699923.11,80.5,-0.273
21699923.1,80.5,-0.273
21699922.99,80.5,-0.278
21699923.07,80.5,-0.274
21699922.92,80.5,-0.282
21699923.04,80.5,-0.276
21699922.9,80.5,-0.282
21699922.93,80.5,-0.281
21699922.89,80.5,-0.283
21699923,80.5,-0.278
21699922.88,80.5,-0.284
21699922.84,80.75,-0.285
21699922.84,80.75,-0.285
21699922.97,80.75,-0.279
21699923.04,80.75,-0.276
21699923.11,80.75,-0.273
21699923.16,80.75,-0.271
21699923.25,80.75,-0.266
21699923.18,80.75,-0.27
21699923.36,80.75,-0.261
