Ref Frequency,Temp,
21699946.32,0,
Frequency,Temp,ppm
21699946.37,11.75,0.002
21699946.28,12.5,-0.002
21699946.23,13,-0.004
21699946.3,13.5,-0.001
21699946.23,14,-0.004
21699946.36,14.5,0.002
21699946.18,14.75,-0.007
21699946.2,15.5,-0.005
21699946.17,16,-0.007
21699946.1,16.5,-0.01
21699946.11,17,-0.01
21699945.99,17.5,-0.015
21699946.15,18,-0.008
21699946.16,18.5,-0.007
21699946.12,19,-0.009
21699946.11,19.5,-0.01
21699946.16,20.25,-0.008
21699946.21,20.75,-0.005
21699946.21,21.25,-0.005
21699946.18,21.75,-0.006
21699946.16,22.5,-0.007
21699946.19,23.25,-0.006
21699945.98,23.75,-0.016
21699945.95,24.75,-0.017
21699945.95,25.25,-0.017
21699945.78,26,-0.025
21699945.62,26.5,-0.032
21699945.48,27.25,-0.039
21699945.37,28,-0.044
21699945.16,28.75,-0.053
21699945.11,29.25,-0.056
21699945.05,30,-0.059
21699944.87,30.75,-0.067
21699944.66,31.5,-0.076
21699944.67,32.25,-0.076
21699944.7,32.75,-0.074
21699944.57,33.5,-0.081
21699944.54,34.25,-0.082
21699944.56,35,-0.081
21699944.56,35.75,-0.081
21699944.6,36.25,-0.079
21699944.65,37,-0.077
21699944.7,37.75,-0.075
21699944.79,38.5,-0.071
21699944.73,39.25,-0.073
21699944.79,39.75,-0.07
21699944.8,40.5,-0.07
21699944.92,41.25,-0.065
21699944.94,42,-0.063
21699945.02,42.75,-0.06
21699945.13,43.25,-0.055
21699945.41,44,-0.042
21699945.5,44.75,-0.038
21699945.72,45.5,-0.027
21699945.84,46.25,-0.022
21699945.88,46.75,-0.02
21699946.01,47.5,-0.014
21699946.15,48.25,-0.008
21699946.21,49,-0.005
21699946.51,49.75,0.009
21699946.64,50.25,0.015
21699946.74,51,0.019
21699946.77,51.75,0.021
21699946.82,52.25,0.023
21699946.92,53,0.028
21699946.75,53.75,0.02
21699946.76,54.25,0.02
21699946.8,55,0.022
21699946.69,55.5,0.017
21699946.61,56.25,0.014
21699946.63,56.5,0.014
